size_dim1,size_dim2,size_dim3,min_colour_range,max_colour_range,type
3.0,224.0,224.0,0.0,0.9960784316062927,torch.float32
3.0,224.0,224.0,0.0,0.8823529481887817,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9372549057006836,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9686274528503418,torch.float32
3.0,224.0,224.0,0.007843137718737125,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9764705896377563,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.09019608050584793,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.01568627543747425,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.027450980618596077,1.0,torch.float32
3.0,224.0,224.0,0.0,0.95686274766922,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.007843137718737125,0.9529411792755127,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0117647061124444,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.027450980618596077,0.8745098114013672,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.05882352963089943,0.7686274647712708,torch.float32
3.0,224.0,224.0,0.0,0.8823529481887817,torch.float32
3.0,224.0,224.0,0.0,0.9960784316062927,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.01568627543747425,0.9803921580314636,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9686274528503418,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9921568632125854,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9921568632125854,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9882352948188782,torch.float32
3.0,224.0,224.0,0.0,0.9882352948188782,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9882352948188782,torch.float32
3.0,224.0,224.0,0.0,0.9450980424880981,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.929411768913269,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.95686274766922,torch.float32
3.0,224.0,224.0,0.0,0.9882352948188782,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9176470637321472,torch.float32
3.0,224.0,224.0,0.003921568859368563,0.8705882430076599,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9921568632125854,torch.float32
3.0,224.0,224.0,0.0,0.9254902005195618,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.7568627595901489,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.929411768913269,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.8313725590705872,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9686274528503418,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9333333373069763,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.95686274766922,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9372549057006836,torch.float32
3.0,224.0,224.0,0.0,0.9921568632125854,torch.float32
3.0,224.0,224.0,0.0,0.95686274766922,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.007843137718737125,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.7803921699523926,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.019607843831181526,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9647058844566345,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.007843137718737125,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9647058844566345,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9058823585510254,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0313725508749485,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9372549057006836,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9686274528503418,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.95686274766922,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0313725508749485,0.9019607901573181,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9882352948188782,torch.float32
3.0,224.0,224.0,0.0235294122248888,0.9843137264251709,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9647058844566345,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.003921568859368563,1.0,torch.float32
3.0,224.0,224.0,0.0,0.9921568632125854,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.04313725605607033,0.8313725590705872,torch.float32
3.0,224.0,224.0,0.0,0.5647059082984924,torch.float32
3.0,224.0,224.0,0.0470588244497776,0.8156862854957581,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.04313725605607033,0.8627451062202454,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.019607843831181526,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
3.0,224.0,224.0,0.0,1.0,torch.float32
